id,recommended_place,state,budget_preference,original_budget_preference,budget_changed,budget_confidence,budget_audit_reason,activity_interest,trip_duration,group_type,transportation_preference,accommodation_preference,destination_type,category,record_type,rating_imputed,price_myr_imputed,price_range_imputed,place_name,city,rating,rating_was_imputed,price_myr,price_range,duration,latitude,longitude,booking_link,source,original_recommended_place,original_place_name,original_category,original_destination_type,original_activity_interest,original_price_range,original_price_range_imputed,include_for_generator,price_basis_clean,data_quality_flags
4973,View Of Rolling Tea Hills,Pahang,Budget,Budget,False,medium,known_free_or_public_place,Sightseeing,2-3 Days,Group of Friends,Taxi/Grab,Hostel,Highland & Nature,Sightseeing & Tours,attraction,4.4,0.0,Free,View Of Rolling Tea Hills,,,True,0.0,Free,,4.5159111,101.405981,,OSM,View Of Rolling Tea Hills,View Of Rolling Tea Hills,Sightseeing & Tours,Highland & Nature,Sightseeing,Free,Free,True,source_price,
4974,Taman Negara Bako,Sarawak,Budget,Budget,False,medium,known_free_or_public_place,Nature,1 Day,Family,Flight,Budget Hotel,Highland & Nature,Nature & Outdoors,attraction,4.4,0.0,Free,Taman Negara Bako,,,True,0.0,Free,,1.7207578,110.4825537,,OSM,Taman Negara Bako,Taman Negara Bako,Nature & Outdoors,Highland & Nature,Nature,Free,Free,True,source_price,
4975,Taman Negara Bukit Lambir,Sarawak,Budget,Budget,False,medium,known_free_or_public_place,Nature,Half Day,Group of Friends,Car/Self-Drive,Homestay,Highland & Nature,Nature & Outdoors,attraction,4.3,0.0,Free,Taman Negara Bukit Lambir,,,True,0.0,Free,,4.2090743,114.0327707,,OSM,Taman Negara Bukit Lambir,Taman Negara Bukit Lambir,Nature & Outdoors,Highland & Nature,Nature,Free,Free,True,source_price,
4976,Taman Negara Gunung Gading,Sarawak,Budget,Budget,False,medium,known_free_or_public_place,Nature,2-3 Days,Group of Friends,Car/Self-Drive,Budget Hotel,Highland & Nature,Nature & Outdoors,attraction,4.7,0.0,Free,Taman Negara Gunung Gading,,,True,0.0,Free,,1.6952624,109.8414373,,OSM,Taman Negara Gunung Gading,Taman Negara Gunung Gading,Sightseeing & Tours,Highland & Nature,Sightseeing,Free,Free,True,source_price,category_reclassified_by_keyword
4977,Taman Negara Pelagus,Sarawak,Budget,Budget,False,medium,known_free_or_public_place,Nature,2-3 Days,Family,Tour Bus,Hostel,Highland & Nature,Nature & Outdoors,attraction,4.3,0.0,Free,Taman Negara Pelagus,,,True,0.0,Free,,2.1962731,113.0605075,,OSM,Taman Negara Pelagus,Taman Negara Pelagus,Nature & Outdoors,Highland & Nature,Nature,Free,Free,True,source_price,
4978,Taman Negara Santubong,Sarawak,Budget,Budget,False,medium,known_free_or_public_place,Nature,1 Day,Solo,Flight,Hostel,Highland & Nature,Nature & Outdoors,attraction,4.4,0.0,Free,Taman Negara Santubong,,,True,0.0,Free,,1.761846,110.3361437,,OSM,Taman Negara Santubong,Taman Negara Santubong,Nature & Outdoors,Highland & Nature,Nature,Free,Free,True,source_price,
4979,Taman Negara Sebangkoi,Sarawak,Budget,Budget,False,medium,known_free_or_public_place,Nature,Half Day,Family,Car/Self-Drive,Homestay,Highland & Nature,Nature & Outdoors,attraction,4.5,0.0,Free,Taman Negara Sebangkoi,,,True,0.0,Free,,1.9596212,111.4333535,,OSM,Taman Negara Sebangkoi,Taman Negara Sebangkoi,Nature & Outdoors,Highland & Nature,Nature,Free,Free,True,source_price,
4980,Tanjung Lobang World War 2 Victims Memorial,Sarawak,Budget,Budget,False,medium,known_free_or_public_place,Culture,Half Day,Group of Friends,Flight,Budget Hotel,Heritage & Culture,Heritage & Museum,attraction,4.5,0.0,Free,Tanjung Lobang World War 2 Victims Memorial,,,True,0.0,Free,,4.3615768,113.9625955,,OSM,Tanjung Lobang World War 2 Victims Memorial,Tanjung Lobang World War 2 Victims Memorial,Heritage & Museum,Beach & Island,Culture,Free,Free,True,source_price,category_reclassified_by_keyword
4981,Taman Permainan Batu Kawa,Sarawak,Budget,Budget,False,medium,known_free_or_public_place,Nature,2-3 Days,Couple,Car/Self-Drive,Budget Hotel,Eco & Wildlife,Nature & Outdoors,attraction,4.5,0.0,Free,Taman Permainan Batu Kawa,,,True,0.0,Free,,1.522359,110.3183284,,OSM,Taman Permainan Batu Kawa,Taman Permainan Batu Kawa,Nature & Outdoors,Eco & Wildlife,Nature,Free,Free,True,source_price,
4982,"Taman Permainan, Debak",Sarawak,Budget,Budget,False,medium,known_free_or_public_place,Nature,2-3 Days,Family,Flight,Homestay,Beach & Island,Nature & Outdoors,attraction,4.5,0.0,Free,"Taman Permainan, Debak",,,True,0.0,Free,,1.5633364,111.4227197,,OSM,"Taman Permainan, Debak","Taman Permainan, Debak",Nature & Outdoors,Beach & Island,Nature,Free,Free,True,source_price,
4983,Taman Rekreasi Bakol,Sarawak,Budget,Budget,False,medium,known_free_or_public_place,Nature,Half Day,Family,Car/Self-Drive,Budget Hotel,Eco & Wildlife,Nature & Outdoors,attraction,4.3,0.0,Free,Taman Rekreasi Bakol,,,True,0.0,Free,,4.6537542,114.9624186,,OSM,Taman Rekreasi Bakol,Taman Rekreasi Bakol,Nature & Outdoors,Eco & Wildlife,Nature,Free,Free,True,source_price,
4984,Taman Rekreasi Bintangor,Sarawak,Budget,Budget,False,medium,known_free_or_public_place,Nature,Half Day,Solo,Tour Bus,Homestay,Beach & Island,Nature & Outdoors,attraction,4.3,0.0,Free,Taman Rekreasi Bintangor,,,True,0.0,Free,,2.1615632,111.643571,,OSM,Taman Rekreasi Bintangor,Taman Rekreasi Bintangor,Nature & Outdoors,Beach & Island,Nature,Free,Free,True,source_price,
4985,Taman Rekreasi Kenyalang,Sarawak,Budget,Budget,False,medium,known_free_or_public_place,Nature,2-3 Days,Family,Flight,Hostel,Beach & Island,Nature & Outdoors,attraction,4.3,0.0,Free,Taman Rekreasi Kenyalang,,,True,0.0,Free,,1.536133,110.3665994,,OSM,Taman Rekreasi Kenyalang,Taman Rekreasi Kenyalang,Nature & Outdoors,Beach & Island,Nature,Free,Free,True,source_price,
4986,Taman Sri Wangi Outdoor Park,Sarawak,Budget,Budget,False,medium,known_free_or_public_place,Nature,1 Day,Solo,Car/Self-Drive,Budget Hotel,Highland & Nature,Nature & Outdoors,attraction,4.4,0.0,Free,Taman Sri Wangi Outdoor Park,,,True,0.0,Free,,1.5728546,110.3177484,,OSM,Taman Sri Wangi Outdoor Park,Taman Sri Wangi Outdoor Park,Nature & Outdoors,Highland & Nature,Nature,Free,Free,True,source_price,
4987,Taman Stutong Indah Park,Sarawak,Budget,Budget,False,medium,known_free_or_public_place,Nature,1 Day,Group of Friends,Flight,Budget Hotel,Highland & Nature,Nature & Outdoors,attraction,4.4,0.0,Free,Taman Stutong Indah Park,,,True,0.0,Free,,1.5195675,110.3848912,,OSM,Taman Stutong Indah Park,Taman Stutong Indah Park,Nature & Outdoors,Beach & Island,Nature,Free,Free,True,source_price,category_reclassified_by_keyword
4988,Taman Tapak Pesta Kaul Mukah,Sarawak,Budget,Budget,False,medium,known_free_or_public_place,Nature,2-3 Days,Group of Friends,Flight,Hostel,Highland & Nature,Nature & Outdoors,attraction,4.3,0.0,Free,Taman Tapak Pesta Kaul Mukah,,,True,0.0,Free,,2.9103805,112.0906088,,OSM,Taman Tapak Pesta Kaul Mukah,Taman Tapak Pesta Kaul Mukah,Nature & Outdoors,Highland & Nature,Nature,Free,Free,True,source_price,
4989,Taman Tasik Sarikei,Sarawak,Budget,Budget,False,medium,known_free_or_public_place,Nature,Half Day,Solo,Flight,Hostel,Eco & Wildlife,Nature & Outdoors,attraction,4.5,0.0,Free,Taman Tasik Sarikei,,,True,0.0,Free,,2.1209756,111.5213827,,OSM,Taman Tasik Sarikei,Taman Tasik Sarikei,Nature & Outdoors,Eco & Wildlife,Nature,Free,Free,True,source_price,
4990,Taman Tema Sentosa,Sarawak,Budget,Budget,False,medium,known_free_or_public_place,Nature,1 Day,Solo,Flight,Budget Hotel,Eco & Wildlife,Nature & Outdoors,attraction,4.3,0.0,Free,Taman Tema Sentosa,,,True,0.0,Free,,1.4634108,110.3370453,,OSM,Taman Tema Sentosa,Taman Tema Sentosa,Nature & Outdoors,Eco & Wildlife,Nature,Free,Free,True,source_price,
4991,Taman Permainan Awam Marudi,Sarawak,Budget,Budget,False,medium,known_free_or_public_place,Nature,Half Day,Family,Tour Bus,Budget Hotel,Beach & Island,Nature & Outdoors,attraction,4.4,0.0,Free,Taman Permainan Awam Marudi,,,True,0.0,Free,,4.1773365,114.3262041,,OSM,Taman Permainan Awam Marudi,Taman Permainan Awam Marudi,Nature & Outdoors,Beach & Island,Nature,Free,Free,True,source_price,
4992,Tapah Recreation Park,Sarawak,Budget,Budget,False,medium,known_free_or_public_place,Nature,1 Day,Couple,Flight,Budget Hotel,Highland & Nature,Nature & Outdoors,attraction,4.3,0.0,Free,Tapah Recreation Park,,,True,0.0,Free,,1.2954744,110.4125698,,OSM,Tapah Recreation Park,Tapah Recreation Park,Nature & Outdoors,Eco & Wildlife,Nature,Free,Free,True,source_price,category_reclassified_by_keyword
4993,Tapak Pesta Kaul Pantai Mukah,Sarawak,Budget,Budget,False,medium,known_free_or_public_place,Nature,2-3 Days,Solo,Car/Self-Drive,Homestay,Beach & Island,Nature & Outdoors,attraction,4.5,0.0,Free,Tapak Pesta Kaul Pantai Mukah,,,True,0.0,Free,,2.9107505,112.0877406,,OSM,Tapak Pesta Kaul Pantai Mukah,Tapak Pesta Kaul Pantai Mukah,Nature & Outdoors,Beach & Island,Nature,Free,Free,True,source_price,
4994,Tasik Biru,Sarawak,Budget,Budget,False,medium,known_free_or_public_place,Sightseeing,1 Day,Couple,Tour Bus,Budget Hotel,Highland & Nature,Sightseeing & Tours,attraction,4.6,0.0,Free,Tasik Biru,,,True,0.0,Free,,1.4123874,110.1516473,,OSM,Tasik Biru,Tasik Biru,Sightseeing & Tours,Highland & Nature,Sightseeing,Free,Free,True,source_price,
4995,Tebingan Sungai Sarikei,Sarawak,Budget,Budget,False,medium,known_free_or_public_place,Nature,2-3 Days,Couple,Tour Bus,Homestay,Eco & Wildlife,Nature & Outdoors,attraction,4.3,0.0,Free,Tebingan Sungai Sarikei,,,True,0.0,Free,,2.132954,111.5199952,,OSM,Tebingan Sungai Sarikei,Tebingan Sungai Sarikei,Nature & Outdoors,Eco & Wildlife,Nature,Free,Free,True,source_price,
4996,Telok Pandan Besar Viewpoint,Sarawak,Budget,Budget,False,medium,known_free_or_public_place,Sightseeing,1 Day,Family,Car/Self-Drive,Budget Hotel,Highland & Nature,Sightseeing & Tours,attraction,4.5,0.0,Free,Telok Pandan Besar Viewpoint,,,True,0.0,Free,,1.7275571,110.4576157,,OSM,Telok Pandan Besar Viewpoint,Telok Pandan Besar Viewpoint,Sightseeing & Tours,Highland & Nature,Sightseeing,Free,Free,True,source_price,
4997,Tempat Rekreasi Sungai Raya,Sarawak,Budget,Budget,False,medium,known_free_or_public_place,Nature,1 Day,Group of Friends,Flight,Hostel,Highland & Nature,Nature & Outdoors,attraction,4.3,0.0,Free,Tempat Rekreasi Sungai Raya,,,True,0.0,Free,,1.1326963,111.4951209,,OSM,Tempat Rekreasi Sungai Raya,Tempat Rekreasi Sungai Raya,Nature & Outdoors,Highland & Nature,Nature,Free,Free,True,source_price,
4998,The Archaeological Heritage Of Niah National Park'S Caves Complex,Sarawak,Budget,Budget,False,medium,known_free_or_public_place,Culture,Half Day,Group of Friends,Tour Bus,Budget Hotel,Heritage & Culture,Religious & Cultural,attraction,4.3,0.0,Free,The Archaeological Heritage Of Niah National Park'S Caves Complex,,,True,0.0,Free,,3.8065584,113.7859302,,OSM,The Archaeological Heritage Of Niah National Park’S Caves Complex,The Archaeological Heritage Of Niah National Park’S Caves Complex,Nature & Outdoors,Highland & Nature,Nature,Free,Free,True,source_price,category_reclassified_by_keyword
4999,Turtle Beach 1,Sarawak,Budget,Budget,False,medium,known_free_or_public_place,Nature,1 Day,Family,Flight,Budget Hotel,Beach & Island,Nature & Outdoors,attraction,4.5,0.0,Free,Turtle Beach 1,,,True,0.0,Free,,3.395704,113.1744931,,OSM,Turtle Beach 1,Turtle Beach 1,Nature & Outdoors,Beach & Island,Nature,Free,Free,True,source_price,
5000,Turtle Beach 2,Sarawak,Budget,Budget,False,medium,known_free_or_public_place,Nature,1 Day,Group of Friends,Tour Bus,Homestay,Beach & Island,Nature & Outdoors,attraction,4.5,0.0,Free,Turtle Beach 2,,,True,0.0,Free,,3.4006962,113.1786203,,OSM,Turtle Beach 2,Turtle Beach 2,Nature & Outdoors,Beach & Island,Nature,Free,Free,True,source_price,
5001,Aik Ann Park,Selangor,Budget,Budget,False,medium,known_free_or_public_place,Nature,Half Day,Solo,Taxi/Grab,Hostel,Highland & Nature,Nature & Outdoors,attraction,4.1,0.0,Free,Aik Ann Park,,,True,0.0,Free,,2.9592708,101.8414254,,OSM,Aik Ann Park,Aik Ann Park,Nature & Outdoors,Highland & Nature,Nature,Free,Free,True,source_price,
5002,Alam Nusantara Park,Selangor,Budget,Budget,False,medium,known_free_or_public_place,Nature,1 Day,Solo,Taxi/Grab,Budget Hotel,Highland & Nature,Nature & Outdoors,attraction,4.2,0.0,Free,Alam Nusantara Park,,,True,0.0,Free,,3.1129339,101.4679138,,OSM,Alam Nusantara Park,Alam Nusantara Park,Nature & Outdoors,Highland & Nature,Nature,Free,Free,True,source_price,
5003,Aman North Park,Selangor,Budget,Budget,False,medium,known_free_or_public_place,Nature,1 Day,Solo,Public Transport,Hostel,Highland & Nature,Nature & Outdoors,attraction,4.0,0.0,Free,Aman North Park,,,True,0.0,Free,,2.8546268,101.7041444,,OSM,Aman North Park,Aman North Park,Nature & Outdoors,Highland & Nature,Nature,Free,Free,True,source_price,
5004,Viewpoint,Sarawak,Budget,Budget,False,medium,known_free_or_public_place,Sightseeing,2-3 Days,Group of Friends,Car/Self-Drive,Hostel,Beach & Island,Sightseeing & Tours,attraction,4.7,0.0,Free,Viewpoint,,,True,0.0,Free,,2.2871624,111.8262257,,OSM,Tour Viewpoint,Tour Viewpoint,Sightseeing & Tours,Beach & Island,Sightseeing,Free,Free,True,source_price,name_normalized;product_text_removed
5005,Waterfront Seahorse Statue,Sarawak,Budget,Budget,False,medium,known_free_or_public_place,Culture,1 Day,Group of Friends,Tour Bus,Budget Hotel,Heritage & Culture,Heritage & Museum,attraction,4.3,0.0,Free,Waterfront Seahorse Statue,,,True,0.0,Free,,4.399285,113.985897,,OSM,Waterfront Seahorse Statue,Waterfront Seahorse Statue,Heritage & Museum,Heritage & Culture,Culture,Free,Free,True,source_price,
5006,Wawasan Public Park,Sarawak,Budget,Budget,False,medium,known_free_or_public_place,Nature,1 Day,Family,Tour Bus,Hostel,Highland & Nature,Nature & Outdoors,attraction,4.4,0.0,Free,Wawasan Public Park,,,True,0.0,Free,,1.5060395,110.3272223,,OSM,Wawasan Public Park,Wawasan Public Park,Nature & Outdoors,Beach & Island,Nature,Free,Free,True,source_price,category_reclassified_by_keyword
5007,Wong Nai Siong Memorial Park,Sarawak,Budget,Budget,False,medium,known_free_or_public_place,Culture,Half Day,Group of Friends,Flight,Budget Hotel,Heritage & Culture,Heritage & Museum,attraction,4.3,0.0,Free,Wong Nai Siong Memorial Park,,,True,0.0,Free,,2.3255356,111.8382221,,OSM,Wong Nai Siong Memorial Park,Wong Nai Siong Memorial Park,Nature & Outdoors,Beach & Island,Nature,Free,Free,True,source_price,category_reclassified_by_keyword
5008,Yii Clan Garden,Sarawak,Budget,Budget,False,medium,known_free_or_public_place,Nature,Half Day,Family,Tour Bus,Homestay,Highland & Nature,Nature & Outdoors,attraction,4.4,0.0,Free,Yii Clan Garden,,,True,0.0,Free,,2.2876847,111.8302285,,OSM,Yii Clan Garden,Yii Clan Garden,Nature & Outdoors,Highland & Nature,Nature,Free,Free,True,source_price,
5009,Visitors Information Centre Garden,Sarawak,Budget,Budget,False,medium,known_free_or_public_place,Nature,1 Day,Couple,Flight,Homestay,Highland & Nature,Nature & Outdoors,attraction,4.3,0.0,Free,Visitors Information Centre Garden,,,True,0.0,Free,,4.3896313,113.9864894,,OSM,Visitors Information Centre Garden,Visitors Information Centre Garden,Nature & Outdoors,Highland & Nature,Nature,Free,Free,True,source_price,
5010,Junction To Nibong Waterfall,Sarawak,Budget,Budget,False,medium,known_free_or_public_place,Nature,1 Day,Couple,Car/Self-Drive,Hostel,Highland & Nature,Nature & Outdoors,attraction,4.6,0.0,Free,Junction To Nibong Waterfall,,,True,0.0,Free,,4.2039212,114.0345332,,OSM,Junction To Nibong Waterfall,Junction To Nibong Waterfall,Sightseeing & Tours,Eco & Wildlife,Sightseeing,Free,Free,True,source_price,category_reclassified_by_keyword
5011,Bu4 Park,Selangor,Budget,Budget,False,medium,known_free_or_public_place,Nature,Half Day,Solo,Taxi/Grab,Budget Hotel,Highland & Nature,Nature & Outdoors,attraction,4.2,0.0,Free,Bu4 Park,,,True,0.0,Free,,3.1524049,101.6078255,,OSM,Bu4 Park,Bu4 Park,Nature & Outdoors,Highland & Nature,Nature,Free,Free,True,source_price,
5012,Bu6 Community Park Garden,Selangor,Budget,Budget,False,medium,known_free_or_public_place,Nature,2-3 Days,Solo,Public Transport,Homestay,Highland & Nature,Nature & Outdoors,attraction,4.2,0.0,Free,Bu6 Community Park Garden,,,True,0.0,Free,,3.1472826,101.6071176,,OSM,Bu6 Community Park Garden,Bu6 Community Park Garden,Nature & Outdoors,Highland & Nature,Nature,Free,Free,True,source_price,
5013,Backfield Ss2,Selangor,Budget,Budget,False,medium,known_free_or_public_place,Nature,1 Day,Family,Public Transport,Hostel,Highland & Nature,Nature & Outdoors,attraction,4.0,0.0,Free,Backfield Ss2,,,True,0.0,Free,,3.1118387,101.6171181,,OSM,Backfield Ss2,Backfield Ss2,Nature & Outdoors,Highland & Nature,Nature,Free,Free,True,source_price,
5014,Taman Tasik Marudi,Sarawak,Budget,Budget,False,medium,known_free_or_public_place,Nature,1 Day,Couple,Car/Self-Drive,Budget Hotel,Highland & Nature,Nature & Outdoors,attraction,4.3,0.0,Free,Taman Tasik Marudi,,,True,0.0,Free,,4.1771346,114.3252115,,OSM,Taman Tasik Marudi,Taman Tasik Marudi,Nature & Outdoors,Highland & Nature,Nature,Free,Free,True,source_price,
5015,Dragon Statue,Sarawak,Budget,Budget,False,medium,known_free_or_public_place,Culture,Half Day,Solo,Flight,Homestay,Heritage & Culture,Heritage & Museum,attraction,4.5,0.0,Free,Dragon Statue,,,True,0.0,Free,,4.4214647,114.0025554,,OSM,Dragon Statue,Dragon Statue,Heritage & Museum,Heritage & Culture,Culture,Free,Free,True,source_price,
5016,Au 4 Park,Selangor,Budget,Budget,False,medium,known_free_or_public_place,Nature,1 Day,Family,Public Transport,Hostel,Highland & Nature,Nature & Outdoors,attraction,4.2,0.0,Free,Au 4 Park,,,True,0.0,Free,,3.1986374,101.7561139,,OSM,Au 4 Park,Au 4 Park,Nature & Outdoors,Highland & Nature,Nature,Free,Free,True,source_price,
5017,Au5 Public Park,Selangor,Budget,Budget,False,medium,known_free_or_public_place,Nature,1 Day,Solo,Taxi/Grab,Homestay,Highland & Nature,Nature & Outdoors,attraction,4.1,0.0,Free,Au5 Public Park,,,True,0.0,Free,,3.2015973,101.7555468,,OSM,Au5 Public Park,Au5 Public Park,Nature & Outdoors,Highland & Nature,Nature,Free,Free,True,source_price,
5018,Pa Dapur River,Sarawak,Budget,Budget,False,medium,known_free_or_public_place,Sightseeing,2-3 Days,Couple,Tour Bus,Budget Hotel,Eco & Wildlife,Sightseeing & Tours,attraction,4.5,0.0,Free,Pa Dapur River,,,True,0.0,Free,,3.7296955,115.4921735,,OSM,Pa Dapur River,Pa Dapur River,Sightseeing & Tours,Eco & Wildlife,Sightseeing,Free,Free,True,source_price,
5019,Padang,Sarawak,Budget,Budget,False,medium,known_free_or_public_place,Nature,1 Day,Couple,Car/Self-Drive,Hostel,Beach & Island,Nature & Outdoors,attraction,4.5,0.0,Free,Padang,,,True,0.0,Free,,1.4369844,110.3844107,,OSM,Padang,Padang,Nature & Outdoors,Beach & Island,Nature,Free,Free,True,source_price,
5020,Padang Sundar,Sarawak,Budget,Budget,False,medium,known_free_or_public_place,Nature,2-3 Days,Couple,Flight,Budget Hotel,Beach & Island,Nature & Outdoors,attraction,4.4,0.0,Free,Padang Sundar,,,True,0.0,Free,,4.8960547,115.2138925,,OSM,Padang Sundar,Padang Sundar,Nature & Outdoors,Beach & Island,Nature,Free,Free,True,source_price,
5021,Prp Sungai Plan Park,Sarawak,Budget,Budget,False,medium,known_free_or_public_place,Nature,1 Day,Group of Friends,Flight,Hostel,Highland & Nature,Nature & Outdoors,attraction,4.5,0.0,Free,Prp Sungai Plan Park,,,True,0.0,Free,,3.2717512,113.1153921,,OSM,Prp Sungai Plan Park,Prp Sungai Plan Park,Nature & Outdoors,Beach & Island,Nature,Free,Free,True,source_price,category_reclassified_by_keyword
5022,Aman South Park,Selangor,Budget,Budget,False,medium,known_free_or_public_place,Nature,Half Day,Couple,Taxi/Grab,Hostel,Highland & Nature,Nature & Outdoors,attraction,4.0,0.0,Free,Aman South Park,,,True,0.0,Free,,2.8530411,101.7038706,,OSM,Aman South Park,Aman South Park,Nature & Outdoors,Highland & Nature,Nature,Free,Free,True,source_price,
5023,Amusement Park,Selangor,Moderate,Budget,True,medium,free_source_but_paid_attraction_or_facility_keyword,Entertainment,2-3 Days,Group of Friends,Car/Self-Drive,Budget Hotel,City & Urban,Entertainment,attraction,4.7,0.0,Free,Amusement Park,,,True,0.0,Free,,3.071915,101.6045091,,OSM,Amusement Park,Amusement Park,Sightseeing & Tours,City & Urban,Sightseeing,Free,Free,True,source_price,category_reclassified_by_keyword
5024,Bukit Angkau,Selangor,Budget,Budget,False,medium,known_free_or_public_place,Nature,1 Day,Group of Friends,Taxi/Grab,Budget Hotel,Highland & Nature,Nature & Outdoors,attraction,4.2,0.0,Free,Bukit Angkau,,,True,0.0,Free,,3.2055189,101.945014,,OSM,Bukit Angkau,Bukit Angkau,Nature & Outdoors,Highland & Nature,Nature,Free,Free,True,source_price,
5025,Bukit Apek,Selangor,Budget,Budget,False,medium,known_free_or_public_place,Nature,1 Day,Solo,Car/Self-Drive,Hostel,Highland & Nature,Nature & Outdoors,attraction,4.8,0.0,Free,Bukit Apek,,,True,0.0,Free,,3.1028937,101.7729749,,OSM,Bukit Apek,Bukit Apek,Sightseeing & Tours,Highland & Nature,Sightseeing,Free,Free,True,source_price,category_reclassified_by_keyword
5026,Bukit Arang,Selangor,Budget,Budget,False,medium,known_free_or_public_place,Nature,Half Day,Solo,Public Transport,Homestay,Highland & Nature,Nature & Outdoors,attraction,4.1,0.0,Free,Bukit Arang,,,True,0.0,Free,,3.1186834,101.8952376,,OSM,Bukit Arang,Bukit Arang,Nature & Outdoors,Highland & Nature,Nature,Free,Free,True,source_price,
5027,Bukit Asa,Selangor,Budget,Budget,False,medium,known_free_or_public_place,Nature,2-3 Days,Solo,Tour Bus,Budget Hotel,Highland & Nature,Nature & Outdoors,attraction,4.3,0.0,Free,Bukit Asa,,,True,0.0,Free,,3.6802763,101.5071195,,OSM,Bukit Asa,Bukit Asa,Nature & Outdoors,Highland & Nature,Nature,Free,Free,True,source_price,
5028,Bukit Badong,Selangor,Budget,Budget,False,medium,known_free_or_public_place,Nature,1 Day,Solo,Car/Self-Drive,Homestay,Highland & Nature,Nature & Outdoors,attraction,4.1,0.0,Free,Bukit Badong,,,True,0.0,Free,,3.3312277,101.4137864,,OSM,Bukit Badong,Bukit Badong,Nature & Outdoors,Highland & Nature,Nature,Free,Free,True,source_price,
5029,Botanik Walk Park,Selangor,Budget,Budget,False,medium,known_free_or_public_place,Nature,2-3 Days,Solo,Car/Self-Drive,Homestay,Highland & Nature,Nature & Outdoors,attraction,4.0,0.0,Free,Botanik Walk Park,,,True,0.0,Free,,2.9885175,101.4366859,,OSM,Botanik Walk Park,Botanik Walk Park,Nature & Outdoors,Highland & Nature,Nature,Free,Free,True,source_price,
5030,Broga Hill Peak 1,Selangor,Budget,Budget,False,medium,known_free_or_public_place,Nature,2-3 Days,Solo,Tour Bus,Hostel,Highland & Nature,Nature & Outdoors,attraction,4.8,0.0,Free,Broga Hill Peak 1,,,True,0.0,Free,,2.9470548,101.9006836,,OSM,Broga Hill Peak 1,Broga Hill Peak 1,Sightseeing & Tours,Highland & Nature,Sightseeing,Free,Free,True,source_price,category_reclassified_by_keyword
5031,Broga Hill Peak 2,Selangor,Budget,Budget,False,medium,known_free_or_public_place,Nature,1 Day,Group of Friends,Tour Bus,Hostel,Highland & Nature,Nature & Outdoors,attraction,4.9,0.0,Free,Broga Hill Peak 2,,,True,0.0,Free,,2.9487629,101.9017118,,OSM,Broga Hill Peak 2,Broga Hill Peak 2,Sightseeing & Tours,Highland & Nature,Sightseeing,Free,Free,True,source_price,category_reclassified_by_keyword
5032,Angsana Park,Selangor,Budget,Budget,False,medium,known_free_or_public_place,Nature,1 Day,Solo,Car/Self-Drive,Homestay,Highland & Nature,Nature & Outdoors,attraction,4.1,0.0,Free,Angsana Park,,,True,0.0,Free,,3.0569119,101.7814407,,OSM,Angsana Park,Angsana Park,Nature & Outdoors,Highland & Nature,Nature,Free,Free,True,source_price,
5033,Ara Damansara Park,Selangor,Budget,Budget,False,medium,known_free_or_public_place,Nature,2-3 Days,Solo,Public Transport,Homestay,Highland & Nature,Nature & Outdoors,attraction,4.2,0.0,Free,Ara Damansara Park,,,True,0.0,Free,,3.1205481,101.5844641,,OSM,Ara Damansara Park,Ara Damansara Park,Nature & Outdoors,Highland & Nature,Nature,Free,Free,True,source_price,
5034,Asa Jaya Park,Selangor,Budget,Budget,False,medium,known_free_or_public_place,Nature,1 Day,Solo,Tour Bus,Hostel,Highland & Nature,Nature & Outdoors,attraction,4.0,0.0,Free,Asa Jaya Park,,,True,0.0,Free,,2.9854301,101.8169855,,OSM,Asa Jaya Park,Asa Jaya Park,Nature & Outdoors,Highland & Nature,Nature,Free,Free,True,source_price,
5035,Bukit Air Hitam,Selangor,Budget,Budget,False,medium,known_free_or_public_place,Nature,1 Day,Family,Taxi/Grab,Budget Hotel,Highland & Nature,Nature & Outdoors,attraction,4.2,0.0,Free,Bukit Air Hitam,,,True,0.0,Free,,2.9757972,101.6181412,,OSM,Bukit Air Hitam,Bukit Air Hitam,Nature & Outdoors,Highland & Nature,Nature,Free,Free,True,source_price,
5036,Bukit Air Kuning,Selangor,Budget,Budget,False,medium,known_free_or_public_place,Nature,Half Day,Family,Car/Self-Drive,Hostel,Highland & Nature,Nature & Outdoors,attraction,4.3,0.0,Free,Bukit Air Kuning,,,True,0.0,Free,,3.0657333,101.5052095,,OSM,Bukit Air Kuning,Bukit Air Kuning,Nature & Outdoors,Highland & Nature,Nature,Free,Free,True,source_price,
5037,Bukit Anak Takun,Selangor,Budget,Budget,False,medium,known_free_or_public_place,Nature,1 Day,Group of Friends,Car/Self-Drive,Hostel,Highland & Nature,Nature & Outdoors,attraction,4.1,0.0,Free,Bukit Anak Takun,,,True,0.0,Free,,3.2978525,101.6377079,,OSM,Bukit Anak Takun,Bukit Anak Takun,Nature & Outdoors,Highland & Nature,Nature,Free,Free,True,source_price,
5038,Bmc Section 9 Park 2,Selangor,Budget,Budget,False,medium,known_free_or_public_place,Nature,1 Day,Group of Friends,Car/Self-Drive,Budget Hotel,Highland & Nature,Nature & Outdoors,attraction,4.1,0.0,Free,Bmc Section 9 Park 2,,,True,0.0,Free,,3.056542,101.7885684,,OSM,Bmc Section 9 Park 2,Bmc Section 9 Park 2,Nature & Outdoors,Highland & Nature,Nature,Free,Free,True,source_price,
